jogador,quantidade_de_jogadas_legais,casas_vazias,tempo,jogada
W,3,59,0.125784,(3, 5)
W,5,57,0.358325,(5, 3)
W,7,55,0.129313,(4, 5)
W,10,53,0.235238,(4, 6)
W,10,51,0.275949,(4, 7)
W,9,49,0.278375,(6, 4)
W,11,47,0.216476,(3, 6)
W,15,45,0.532084,(5, 6)
W,7,43,0.105268,(7, 4)
W,10,41,0.206474,(2, 7)
W,13,39,0.420040,(2, 5)
W,7,37,0.116588,(4, 2)
W,9,35,0.245813,(6, 2)
W,5,33,0.962591,(6, 6)
W,7,31,0.272765,(2, 3)
W,4,29,0.844327,(2, 2)
W,6,27,0.160189,(3, 0)
W,4,25,0.169308,(2, 0)
W,10,23,0.166824,(2, 4)
W,13,21,0.220949,(7, 2)
W,11,19,0.222668,(0, 3)
W,10,17,0.466605,(7, 0)
W,9,15,0.314810,(7, 7)
W,11,13,0.222056,(6, 7)
W,11,11,0.537602,(0, 7)
W,9,9,0.422844,(1, 6)
W,8,8,0.153108,(0, 0)
W,6,6,0.005816,(0, 1)
W,4,4,0.002610,(0, 5)
W,2,2,0.000184,(4, 0)
